QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,Какая планета известна как Красная планета?,Венера,Марс,Юпитер,Земля,2,Марс называют Красной планетой.
Q_0002,Speed Quiz,Text,SQ_02,Как обычно называют H2O?,Кислород,Водород,Соль,Вода,4,H2O – это вода.
Q_0003,Speed Quiz,Text,SQ_03,Сколько континентов существует?,5,8,6,7,4,Есть 7 континентов.
Q_0004,Speed Quiz,Text,SQ_04,Какой газ поглощают растения?,Азот,Водород,углекислый газ,Кислород,3,Растения поглощают CO2.
Q_0005,Speed Quiz,Text,SQ_05,Какова температура кипения воды?,100°С,200°С,150°С,50°С,1,Вода кипит при 100°С.
Q_0006,Speed Quiz,Text,SQ_06,Какое животное называют королём джунглей?,Слон,Лев,Леопард,Тигр,2,Льва называют королём джунглей.
Q_0007,Speed Quiz,Text,SQ_07,Сколько дней в високосном году?,367,365,364,366,4,Високосный год имеет 366 дней.
Q_0008,Speed Quiz,Text,SQ_08,Какой металл является жидким при комнатной температуре?,Золото,Железо,Меркурий,Серебро,3,Ртуть жидкая при комнатной температуре.
Q_0009,Speed Quiz,Text,SQ_09,Какой орган чувств используется для зрения?,Кожа,Нос,Глаз,Ухо,3,Глаза помогают нам видеть.
Q_0010,Speed Quiz,Text,SQ_10,Какое млекопитающее самое большое?,Жирафа,Синий кит,Слон,Носорог,2,Синий кит – самое крупное млекопитающее.
Q_0011,Speed Quiz,Text,SQ_11,Какой витамин мы получаем от солнечного света?,Витамин В,Витамин С,Витамин Д,Витамин А,3,Солнечный свет дает витамин D.
Q_0012,Speed Quiz,Text,SQ_12,Что пчелы собирают с цветов?,Листья,Вода,Мед,пыльца,4,Пчелы собирают пыльцу.
Q_0013,Speed Quiz,Text,SQ_13,Какая фигура имеет три стороны?,Треугольник,Прямоугольник,Квадрат,Круг,1,Треугольник имеет три стороны.
Q_0014,Speed Quiz,Text,SQ_14,Какого цвета небо в ясный день?,Зеленый,Красный,Желтый,Синий,4,Небо кажется голубым из-за рассеяния.
Q_0015,Speed Quiz,Text,SQ_15,Сколько ног у паука?,8,10,6,12,1,У пауков 8 ног.
Q_0016,Speed Quiz,Text,SQ_16,Какой прибор используется для измерения температуры?,Гигрометр,Термометр,Спидометр,Барометр,2,Термометр измеряет температуру.
Q_0017,Speed Quiz,Text,SQ_17,Какой месяц идет после сентября?,Август,ноябрь,December,Октябрь,4,Октябрь следует за сентябрем.
Q_0018,Speed Quiz,Text,SQ_18,Какое животное известно своей длинной шеей?,Зебра,Верблюд,Лошадь,Жирафа,4,У жирафа длинная шея.
Q_0019,Speed Quiz,Text,SQ_19,"Чем мы дышим, чтобы выжить?",углекислый газ,Кислород,Гелий,Азот,2,Кислород необходим для жизни.
Q_0020,Speed Quiz,Text,SQ_20,Какой предмет освещает нас днем?,Звезды,Лампа,Солнце,Луна,3,Солнце обеспечивает дневной свет.
Q_0021,Speed Quiz,Text,SQ_21,Сколько часов в сутках?,24,30,12,18,1,В сутках 24 часа.
Q_0022,Speed Quiz,Text,SQ_22,Какое животное живет в воде и дышит жабрами?,Рыба,Кит,Дельфин,Собака,1,Рыбы дышат жабрами.
Q_0023,Speed Quiz,Text,SQ_23,Какова температура замерзания воды?,50°С,100°С,0°С,10°С,3,Вода замерзает при температуре 0°С.
Q_0024,Speed Quiz,Text,SQ_24,Какой орган перекачивает кровь в организме человека?,Печень,Сердце,Мозг,Легкие,2,Сердце перекачивает кровь.
Q_0025,Speed Quiz,Text,SQ_25,Какой день наступает после пятницы?,Воскресенье,Суббота,Понедельник,Четверг,2,Суббота наступает после пятницы.
Q_0026,Speed Quiz,Text,SQ_26,Что является противоположностью горячему?,Теплый,Сухой,Холодный,Прохладный,3,Cold is the opposite of hot.
Q_0027,Speed Quiz,Text,SQ_27,Какая часть растения отвечает за питание?,Корень,Лист,Цветок,Корень,2,Листья производят пищу посредством фотосинтеза.
Q_0028,Speed Quiz,Text,SQ_28,Что является основным источником энергии на Земле?,Электричество,Уголь,Солнце,Ветер,3,Солнце является основным источником энергии.
Q_0029,Speed Quiz,Text,SQ_29,Какое животное известно своими черно-белыми полосами?,Зебра,Лошадь,Тигр,Корова,1,Зебра имеет черно-белые полосы.
Q_0030,Speed Quiz,Text,SQ_30,Сколько цветов в радуге?,7,6,8,5,1,В радуге 7 цветов.
Q_0031,Speed Quiz,Image,IMG_001,Какое животное изображено на рисунке?,Лиса,Красная Панда,Енот,Кот,2,На изображении изображена красная панда.
Q_0032,Speed Quiz,Image,IMG_002,Какие фрукты изображены?,Личи,Папайя,Гуава,Драконий фрукт,4,Это драконий фрукт.
Q_0033,Speed Quiz,Image,IMG_003,Что это за объект?,Часы,Компас,Спидометр,Секундомер,4,Объект представляет собой секундомер.
Q_0034,Speed Quiz,Image,IMG_004,Which bird is shown?,Павлин,Лебедь,Попугай,Турция,1,Птица – павлин.
Q_0035,Speed Quiz,Image,IMG_005,Какой автомобиль изображен?,Параплан,Дрон,Вертолет,Воздушный шар,4,Это воздушный шар.
