QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,Which planet is known as the Red Planet?,Vênus,Marte,Júpiter,Terra,2,Mars is called the Red Planet.
Q_0002,Speed Quiz,Text,SQ_02,What is H2O commonly known as?,Oxigênio,Hidrogênio,Sal,Água,4,H2O é água.
Q_0003,Speed Quiz,Text,SQ_03,How many continents are there?,5,8,6,7,4,Existem 7 continentes.
Q_0004,Speed Quiz,Text,SQ_04,Which gas do plants absorb?,Azoto,Hidrogênio,Dióxido de Carbono,Oxigênio,3,As plantas absorvem CO2.
Q_0005,Speed Quiz,Text,SQ_05,What is the boiling point of water?,100ºC,200ºC,150ºC,50°C,1,A água ferve a 100°C.
Q_0006,Speed Quiz,Text,SQ_06,Which animal is known as the King of the Jungle?,Elefante,Leão,Leopardo,Tigre,2,Lion is called the King of the Jungle.
Q_0007,Speed Quiz,Text,SQ_07,How many days are there in a leap year?,367,365,364,366,4,O ano bissexto tem 366 dias.
Q_0008,Speed Quiz,Text,SQ_08,Which metal is liquid at room temperature?,Ouro,Ferro,Mercúrio,Prata,3,Mercury is liquid at room temperature.
Q_0009,Speed Quiz,Text,SQ_09,Which sense organ is used to see?,Pele,Nariz,Olho,Orelha,3,Os olhos nos ajudam a ver.
Q_0010,Speed Quiz,Text,SQ_10,What is the largest mammal?,Girafa,Baleia Azul,Elefante,Rinoceronte,2,Blue Whale is the largest mammal.
Q_0011,Speed Quiz,Text,SQ_11,Which vitamin do we get from sunlight?,Vitamina B,Vitamina C,Vitamina D,Vitamin A,3,Sunlight gives Vitamin D.
Q_0012,Speed Quiz,Text,SQ_12,What do bees collect from flowers?,Folhas,Água,Mel,Pólen,4,As abelhas coletam pólen.
Q_0013,Speed Quiz,Text,SQ_13,Which shape has three sides?,Triângulo,Retângulo,Quadrado,Círculo,1,Triangle has three sides.
Q_0014,Speed Quiz,Text,SQ_14,What is the color of the sky on a clear day?,Verde,Vermelho,Amarelo,Azul,4,Sky appears blue due to scattering.
Q_0015,Speed Quiz,Text,SQ_15,How many legs does a spider have?,8,10,6,12,1,As aranhas têm 8 patas.
Q_0016,Speed Quiz,Text,SQ_16,Which instrument is used to measure temperature?,Higrômetro,Termômetro,Velocímetro,Barômetro,2,Thermometer measures temperature.
Q_0017,Speed Quiz,Text,SQ_17,Which month comes after September?,Agosto,novembro,dezembro,outubro,4,October follows September.
Q_0018,Speed Quiz,Text,SQ_18,Which animal is known for its long neck?,Zebra,Camelo,Cavalo,Girafa,4,A girafa tem pescoço comprido.
Q_0019,Speed Quiz,Text,SQ_19,What do we breathe in to survive?,Dióxido de Carbono,Oxigênio,Hélio,Azoto,2,Oxygen is essential for life.
Q_0020,Speed Quiz,Text,SQ_20,Which object gives us light during the day?,Estrelas,Bulbo,Sol,Lua,3,O sol fornece a luz do dia.
Q_0021,Speed Quiz,Text,SQ_21,How many hours are there in a day?,24,30,12,18,1,There are 24 hours in a day.
Q_0022,Speed Quiz,Text,SQ_22,Which animal lives in water and breathes through gills?,Peixe,Baleia,Golfinho,Cachorro,1,Fish breathe through gills.
Q_0023,Speed Quiz,Text,SQ_23,What is the freezing point of water?,50°C,100ºC,0°C,10°C,3,A água congela a 0°C.
Q_0024,Speed Quiz,Text,SQ_24,Which organ pumps blood in the human body?,Fígado,Coração,Cérebro,Pulmões,2,O coração bombeia sangue.
Q_0025,Speed Quiz,Text,SQ_25,Which day comes after Friday?,Domingo,Sábado,Segunda-feira,Quinta-feira,2,Saturday comes after Friday.
Q_0026,Speed Quiz,Text,SQ_26,What is the opposite of hot?,Esquentar,Seco,Frio,Legal,3,Cold is the opposite of hot.
Q_0027,Speed Quiz,Text,SQ_27,Which part of a plant makes food?,Tronco,Folha,Flor,Raiz,2,Leaves make food by photosynthesis.
Q_0028,Speed Quiz,Text,SQ_28,What is the main source of energy for Earth?,Eletricidade,Carvão,Sol,Vento,3,Sun is the main energy source.
Q_0029,Speed Quiz,Text,SQ_29,Which animal is known for its black and white stripes?,Zebra,Cavalo,Tigre,Vaca,1,Zebra has black and white stripes.
Q_0030,Speed Quiz,Text,SQ_30,How many colors are there in a rainbow?,7,6,8,5,1,There are 7 colors in a rainbow.
Q_0031,Speed Quiz,Image,IMG_001,Which animal is shown in the image?,Raposa,Panda Vermelho,Guaxinim,Gato,2,The image shows a red panda.
Q_0032,Speed Quiz,Image,IMG_002,Que fruta é mostrada?,Lichia,Mamão,Goiaba,Fruta do Dragão,4,Esta é a fruta do dragão.
Q_0033,Speed Quiz,Image,IMG_003,Which object is this?,Relógio,Bússola,Velocímetro,Cronômetro,4,The object is a stopwatch.
