QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,Welcher Planet ist als Roter Planet bekannt?,Venus,Mars,Jupiter,Erde,2,Der Mars wird der Rote Planet genannt.
Q_0002,Speed Quiz,Text,SQ_02,Wie ist H2O allgemein bekannt?,Sauerstoff,Wasserstoff,Salz,Wasser,4,H2O ist Wasser.
Q_0003,Speed Quiz,Text,SQ_03,Wie viele Kontinente gibt es?,5,8,6,7,4,Es gibt 7 Kontinente.
Q_0004,Speed Quiz,Text,SQ_04,Welches Gas nehmen Pflanzen auf?,Stickstoff,Wasserstoff,Kohlendioxid,Sauerstoff,3,Pflanzen absorbieren CO2.
Q_0005,Speed Quiz,Text,SQ_05,Wie hoch ist der Siedepunkt von Wasser?,100°C,200°C,150°C,50°C,1,Wasser siedet bei 100°C.
Q_0006,Speed Quiz,Text,SQ_06,Welches Tier ist als König des Dschungels bekannt?,Elefant,Löwe,Leopard,Tiger,2,Löwe wird der König des Dschungels genannt.
Q_0007,Speed Quiz,Text,SQ_07,Wie viele Tage hat ein Schaltjahr?,367,365,364,366,4,Ein Schaltjahr hat 366 Tage.
Q_0008,Speed Quiz,Text,SQ_08,Welches Metall ist bei Raumtemperatur flüssig?,Gold,Eisen,Quecksilber,Silber,3,Quecksilber ist bei Raumtemperatur flüssig.
Q_0009,Speed Quiz,Text,SQ_09,Mit welchem ​​Sinnesorgan sieht man?,Haut,Nase,Auge,Ohr,3,Augen helfen uns zu sehen.
Q_0010,Speed Quiz,Text,SQ_10,Was ist das größte Säugetier?,Giraffe,Blauwal,Elefant,Nashorn,2,Der Blauwal ist das größte Säugetier.
Q_0011,Speed Quiz,Text,SQ_11,Welches Vitamin bekommen wir durch Sonnenlicht?,Vitamin B,Vitamin C,Vitamin D,Vitamin A,3,Sonnenlicht spendet Vitamin D.
Q_0012,Speed Quiz,Text,SQ_12,Was sammeln Bienen von Blumen?,Blätter,Wasser,Honig,Pollen,4,Bienen sammeln Pollen.
Q_0013,Speed Quiz,Text,SQ_13,Welche Form hat drei Seiten?,Dreieck,Rechteck,Quadrat,Kreis,1,Dreieck hat drei Seiten.
Q_0014,Speed Quiz,Text,SQ_14,Welche Farbe hat der Himmel an einem klaren Tag?,Grün,Rot,Gelb,Blau,4,Der Himmel erscheint aufgrund der Streuung blau.
Q_0015,Speed Quiz,Text,SQ_15,Wie viele Beine hat eine Spinne?,8,10,6,12,1,Spinnen haben 8 Beine.
Q_0016,Speed Quiz,Text,SQ_16,Mit welchem ​​Gerät wird die Temperatur gemessen?,Hygrometer,Thermometer,Tachometer,Barometer,2,Thermometer misst die Temperatur.
Q_0017,Speed Quiz,Text,SQ_17,Welcher Monat kommt nach September?,August,November,Dezember,Oktober,4,Oktober folgt September.
Q_0018,Speed Quiz,Text,SQ_18,Welches Tier ist für seinen langen Hals bekannt?,Zebra,Kamel,Pferd,Giraffe,4,Giraffe hat einen langen Hals.
Q_0019,Speed Quiz,Text,SQ_19,"Was atmen wir ein, um zu überleben?",Kohlendioxid,Sauerstoff,Helium,Stickstoff,2,Sauerstoff ist lebenswichtig.
Q_0020,Speed Quiz,Text,SQ_20,Welcher Gegenstand spendet uns tagsüber Licht?,Sterne,Birne,Sonne,Mond,3,Sonne sorgt für Tageslicht.
Q_0021,Speed Quiz,Text,SQ_21,Wie viele Stunden hat ein Tag?,24,30,12,18,1,Der Tag hat 24 Stunden.
Q_0022,Speed Quiz,Text,SQ_22,Welches Tier lebt im Wasser und atmet durch Kiemen?,Fisch,Wal,Delphin,Hund,1,Fish breathe through gills.
Q_0023,Speed Quiz,Text,SQ_23,Was ist der Gefrierpunkt von Wasser?,50°C,100°C,0°C,10°C,3,Wasser gefriert bei 0°C.
Q_0024,Speed Quiz,Text,SQ_24,Welches Organ pumpt Blut im menschlichen Körper?,Leber,Herz,Gehirn,Lunge,2,Das Herz pumpt Blut.
Q_0025,Speed Quiz,Text,SQ_25,Welcher Tag kommt nach Freitag?,Sonntag,Samstag,Montag,Donnerstag,2,Der Samstag folgt auf den Freitag.
Q_0026,Speed Quiz,Text,SQ_26,Was ist das Gegenteil von heiß?,Warm,Trocken,Kalt,Cool,3,Kalt ist das Gegenteil von heiß.
Q_0027,Speed Quiz,Text,SQ_27,Aus welchem ​​Teil einer Pflanze entsteht Nahrung?,Stängel,Blatt,Blume,Wurzel,2,Blätter produzieren Nahrung durch Photosynthese.
Q_0028,Speed Quiz,Text,SQ_28,Was ist die Hauptenergiequelle der Erde?,Strom,Kohle,Sonne,Wind,3,Die Sonne ist die wichtigste Energiequelle.
Q_0029,Speed Quiz,Text,SQ_29,Welches Tier ist für seine schwarz-weißen Streifen bekannt?,Zebra,Pferd,Tiger,Kuh,1,Zebra hat schwarze und weiße Streifen.
Q_0030,Speed Quiz,Text,SQ_30,Wie viele Farben hat ein Regenbogen?,7,6,8,5,1,Es gibt 7 Farben in einem Regenbogen.
