QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,Planet manakah yang disebut Planet Merah?,Venus,Mars,Jupiter,Bumi,2,Mars disebut Planet Merah.
Q_0002,Speed Quiz,Text,SQ_02,H2O biasa disebut dengan apa?,Oksigen,Hidrogen,Garam,Air,4,H2O adalah air.
Q_0003,Speed Quiz,Text,SQ_03,Ada berapa benua?,5,8,6,7,4,Ada 7 benua.
Q_0004,Speed Quiz,Text,SQ_04,Gas apa yang diserap tumbuhan?,Nitrogen,Hidrogen,Karbon Dioksida,Oksigen,3,Tumbuhan menyerap CO2.
Q_0005,Speed Quiz,Text,SQ_05,Berapa titik didih air?,100°C,200°C,150°C,50°C,1,Air mendidih pada suhu 100°C.
Q_0006,Speed Quiz,Text,SQ_06,Hewan apa yang disebut Raja Hutan?,Gajah,Singa,macan tutul,Harimau,2,Singa disebut Raja Hutan.
Q_0007,Speed Quiz,Text,SQ_07,Ada berapa hari dalam satu tahun kabisat?,367,365,364,366,4,Tahun kabisat memiliki 366 hari.
Q_0008,Speed Quiz,Text,SQ_08,Logam manakah yang berbentuk cair pada suhu kamar?,Emas,Besi,Air raksa,Perak,3,Merkuri berbentuk cair pada suhu kamar.
Q_0009,Speed Quiz,Text,SQ_09,Alat indera manakah yang digunakan untuk melihat?,Kulit,Hidung,Mata,Telinga,3,Mata membantu kita melihat.
Q_0010,Speed Quiz,Text,SQ_10,Apa mamalia terbesar?,Jerapah,Paus Biru,Gajah,Badak,2,Paus Biru adalah mamalia terbesar.
Q_0011,Speed Quiz,Text,SQ_11,Vitamin apa yang kita dapatkan dari sinar matahari?,Vitamin B,Vitamin C,Vitamin D,vitamin A,3,Sinar matahari memberi Vitamin D.
Q_0012,Speed Quiz,Text,SQ_12,Apa yang dikumpulkan lebah dari bunga?,Daun-daun,Air,Sayang,Serbuk sari,4,Lebah mengumpulkan serbuk sari.
Q_0013,Speed Quiz,Text,SQ_13,Bentuk manakah yang memiliki tiga sisi?,Segi tiga,Persegi panjang,Persegi,Lingkaran,1,Segitiga mempunyai tiga sisi.
Q_0014,Speed Quiz,Text,SQ_14,Apa warna langit pada hari yang cerah?,Hijau,Merah,Kuning,Biru,4,Langit tampak biru karena hamburan.
Q_0015,Speed Quiz,Text,SQ_15,Berapa banyak kaki yang dimiliki laba-laba?,8,10,6,12,1,Laba-laba mempunyai 8 kaki.
Q_0016,Speed Quiz,Text,SQ_16,Alat apa yang digunakan untuk mengukur suhu?,Higrometer,Termometer,Speedometer,Barometer,2,Termometer mengukur suhu.
Q_0017,Speed Quiz,Text,SQ_17,Bulan apa yang datang setelah September?,Agustus,November,Desember,Oktober,4,Oktober menyusul September.
Q_0018,Speed Quiz,Text,SQ_18,Hewan apa yang terkenal dengan lehernya yang panjang?,zebra,Unta,Kuda,Jerapah,4,Jerapah memiliki leher yang panjang.
Q_0019,Speed Quiz,Text,SQ_19,Apa yang kita hirup untuk bertahan hidup?,Karbon Dioksida,Oksigen,Helium,Nitrogen,2,Oksigen sangat penting bagi kehidupan.
Q_0020,Speed Quiz,Text,SQ_20,Benda manakah yang memberi kita cahaya di siang hari?,Bintang,Bohlam,Matahari,Bulan,3,Matahari memberikan siang hari.
Q_0021,Speed Quiz,Text,SQ_21,Ada berapa jam dalam sehari?,24,30,12,18,1,Ada 24 jam dalam sehari.
Q_0022,Speed Quiz,Text,SQ_22,Hewan apa yang hidup di air dan bernapas melalui insang?,Ikan,Paus,Lumba-lumba,Anjing,1,Ikan bernapas melalui insang.
Q_0023,Speed Quiz,Text,SQ_23,Berapa titik beku air?,50°C,100°C,0°C,10°C,3,Air membeku pada suhu 0°C.
Q_0024,Speed Quiz,Text,SQ_24,Organ manakah yang memompa darah ke dalam tubuh manusia?,Hati,Jantung,Otak,Paru-paru,2,Jantung memompa darah.
Q_0025,Speed Quiz,Text,SQ_25,Hari apa yang datang setelah hari Jumat?,Minggu,Sabtu,Senin,Kamis,2,Sabtu datang setelah hari Jumat.
Q_0026,Speed Quiz,Text,SQ_26,Apa lawan kata dari panas?,Hangat,Kering,Dingin,Dingin,3,Dingin adalah kebalikan dari panas.
Q_0027,Speed Quiz,Text,SQ_27,Bagian tumbuhan manakah yang menghasilkan makanan?,Tangkai,Daun,Bunga,Akar,2,Daun membuat makanan melalui fotosintesis.
Q_0028,Speed Quiz,Text,SQ_28,Apa sumber energi utama bumi?,Listrik,Batu bara,Matahari,Angin,3,Matahari merupakan sumber energi utama.
Q_0029,Speed Quiz,Text,SQ_29,Hewan apa yang terkenal dengan garis-garis hitam putihnya?,zebra,Kuda,Harimau,Sapi,1,Zebra memiliki garis-garis hitam dan putih.
Q_0030,Speed Quiz,Text,SQ_30,Berapa banyak warna yang ada pada pelangi?,7,6,8,5,1,Ada 7 warna dalam pelangi.
Q_0031,Speed Quiz,Image,IMG_001,Hewan apa yang ditunjukkan pada gambar?,Rubah,Panda Merah,rakun,Kucing,2,Gambar menunjukkan panda merah.
Q_0032,Speed Quiz,Image,IMG_002,Buah apa yang ditampilkan?,Leci,Pepaya,Jambu biji,Buah naga,4,Ini adalah buah naga.
Q_0033,Speed Quiz,Image,IMG_003,Benda manakah ini?,Jam,Kompas,Speedometer,Stopwatch,4,Objeknya adalah stopwatch.
Q_0034,Speed Quiz,Image,IMG_004,Burung apa yang ditampilkan?,Merak,Angsa,Burung beo,Turki,1,Burung itu adalah burung merak.
Q_0035,Speed Quiz,Image,IMG_005,Kendaraan apa yang ditampilkan?,Paralayang,Dengung,Helikopter,Balon Udara Panas,4,Ini adalah balon udara.
Q_0036,Speed Quiz,Image,IMG_006,Instrumen apa yang ditampilkan?,Gitar kecil,Gitar,Selo,Biola,4,Alat musiknya adalah biola.
Q_0037,Speed Quiz,Image,IMG_007,Hewan apa yang ditampilkan?,Koala,Panda,Kemalasan,Beruang,1,Hewan tersebut adalah koala.
Q_0038,Speed Quiz,Image,IMG_008,Alat apa yang ditampilkan?,Palu,Gergaji,Tang,Kunci,4,Alat tersebut adalah kunci pas.
Q_0039,Speed Quiz,Image,IMG_009,Kondisi cuaca apa yang ditampilkan?,Petir,Hujan,Salju,Kabut,1,Gambar menunjukkan kilat.
Q_0040,Speed Quiz,Image,IMG_010,Makhluk laut manakah yang ditampilkan?,Cumi-cumi,Kepiting,Gurita,Ubur ubur,3,Makhluk itu adalah gurita.
Q_0041,Speed Quiz,Image,IMG_011,Buah apa yang ditampilkan?,buah mangga,Kiwi,Alpukat,Pir,3,Ini adalah alpukat.
Q_0042,Speed Quiz,Image,IMG_012,Hewan apa yang ditampilkan?,Walabi,Rusa,Antelop,Kanguru,4,Hewan tersebut adalah kanguru.
Q_0043,Speed Quiz,Image,IMG_013,Benda apa ini?,Jam,Jam pasir,Kompas,pengatur waktu,2,Ini adalah jam pasir.
Q_0044,Speed Quiz,Image,IMG_014,Reptil manakah yang ditampilkan?,Iguana,Kadal,Tokek,Bunglon,4,The reptile is a chameleon.
Q_0045,Speed Quiz,Image,IMG_015,Alat apa yang ditampilkan?,Busur derajat,Kompas,Penggaris,Pita pengukur,4,Ini adalah pita pengukur.
Q_0046,Speed Quiz,Image,IMG_016,Hewan apa yang ditampilkan?,Landak,Tikus tanah,Armadillo,Landak,1,Hewan itu adalah landak.
Q_0047,Speed Quiz,Image,IMG_017,Objek manakah yang ditampilkan?,Bumi,Peta,Bola,Bola dunia,4,Ini adalah bola dunia.
Q_0048,Speed Quiz,Image,IMG_018,Buah apa yang ditampilkan?,Anggur,Blackberry,kismis,Blueberry,4,Ini adalah blueberry.
Q_0049,Speed Quiz,Image,IMG_019,Hewan apa yang ditampilkan?,Bangau,Bangau,Derek,Flamingo,4,Burung itu adalah seekor flamingo.
Q_0050,Speed Quiz,Image,IMG_020,Instrumen apa yang ditampilkan?,Konga,Bongo,Drum,Tabla,3,Ini adalah drum.
Q_0051,Speed Quiz,Image,IMG_021,Hewan apa yang ditampilkan?,lama,Domba,alpaka,Unta,3,Hewan itu adalah alpaka.
Q_0052,Speed Quiz,Image,IMG_022,Benda apa ini?,Mikroskop,Periskop,Teleskop,Teropong,1,Ini adalah mikroskop.
Q_0053,Speed Quiz,Image,IMG_023,Buah apa yang ditampilkan?,Delima,Jambu biji,Apel,Prem,1,Ini adalah buah delima.
Q_0054,Speed Quiz,Image,IMG_024,Hewan apa yang ditampilkan?,Koala,Monyet,Kubung,Kemalasan,4,Hewan itu adalah seekor kemalasan.
Q_0055,Speed Quiz,Image,IMG_025,Objek manakah yang ditampilkan?,Alat pengukur tinggi,Jam,Kompas,Termometer,3,Ini adalah kompas.
Q_0056,Speed Quiz,Image,IMG_026,Hewan apa yang ditampilkan?,Landak,Tikus tanah,Landak,Armadillo,4,Hewan tersebut adalah armadillo.
Q_0057,Speed Quiz,Image,IMG_027,Buah apa yang ditampilkan?,Kelapa,Buah sukun,Pepaya,Melon,1,Ini kelapa.
Q_0058,Speed Quiz,Image,IMG_028,Alat apa yang ditampilkan?,Gunting,Penjepit,Tang,Penjepit,3,Alatnya adalah tang.
Q_0059,Speed Quiz,Image,IMG_029,Burung apa yang ditampilkan?,Burung rajawali,Elang,Elang,Burung hantu,4,Burung itu adalah burung hantu.
Q_0060,Speed Quiz,Image,IMG_030,Hewan apa yang ditampilkan?,Berang-berang,Musang,Meerkat,Anjing Padang Rumput,3,Hewan itu adalah meerkat.
Q_0061,Geo Explorer,Text,GE_01,Apa ibu kota Jepang?,Beijing,Kyoto,Tokyo,seoul,3,Tokyo adalah ibu kota Jepang.
Q_0062,Geo Explorer,Text,GE_02,Apa ibu kota India?,Mumbai,Chennai,New Delhi,Kolkata,3,New Delhi adalah ibu kota India.
Q_0063,Geo Explorer,Text,GE_03,Sungai manakah yang terpanjang di India?,Godavari,Gangga,Brahmaputra,yamuna,2,Gangga adalah sungai terpanjang di India.
Q_0064,Geo Explorer,Text,GE_04,Negara manakah yang dikenal sebagai Negeri Matahari Terbit?,Thailand,Jepang,Cina,Korea,2,Jepang disebut sebagai Negeri Matahari Terbit.
Q_0065,Geo Explorer,Text,GE_05,Pegunungan manakah yang memisahkan India dan Cina?,Pegunungan Rocky,Andes,pegunungan Alpen,Himalaya,4,Pegunungan Himalaya memisahkan India dan Cina.
Q_0066,Geo Explorer,Text,GE_06,Which desert is located mainly in India?,Gobi,Itu,Kalahari,Sahara,2,Gurun Thar ada di India.
Q_0067,Geo Explorer,Text,GE_07,Negara Asia manakah yang memiliki populasi terbesar?,Cina,Jepang,Indonesia,India,1,Tiongkok memiliki populasi terbesar.
Q_0068,Geo Explorer,Text,GE_08,Negara bagian manakah di India yang memiliki garis pantai terpanjang?,Gujarat,Andhra Pradesh,Tamil Nadu,Kerala,1,Gujarat memiliki garis pantai terpanjang.
Q_0069,Geo Explorer,Text,GE_09,Nepal terletak di negara manakah?,Eropa,Afrika,Asia,Australia,3,Nepal terletak di Asia.
Q_0070,Geo Explorer,Text,GE_10,Kota manakah yang dikenal sebagai ibu kota keuangan India?,Chennai,Bengaluru,Delhi,Mumbai,4,Mumbai adalah ibu kota keuangan India.
Q_0071,Geo Explorer,Text,GE_11,Sungai manakah yang mengalir melalui Bangladesh dan India?,Efrat,harimau,industri,Brahmaputra,4,Brahmaputra mengalir melalui India dan Bangladesh.
Q_0072,Geo Explorer,Text,GE_12,Laut manakah yang terletak di sebelah selatan India?,Laut Merah,Laut Kaspia,Laut Tengah,Laut Arab,4,Laut Arab terletak di selatan India.
Q_0073,Geo Explorer,Text,GE_13,Negara mana yang paling dekat dengan Sri Lanka?,India,Indonesia,Malaysia,Thailand,1,Sri Lanka terletak dekat dengan India.
Q_0074,Geo Explorer,Text,GE_14,Negara Asia manakah yang beribu kota Bangkok?,Vietnam,Laos,Thailand,Kamboja,3,Bangkok adalah ibu kota Thailand.
Q_0075,Geo Explorer,Text,GE_15,India termasuk di benua manakah?,Afrika,Asia,Eropa,Australia,2,India adalah bagian dari Asia.
Q_0076,Geo Explorer,Text,GE_16,Negara mana yang memiliki Menara Eiffel?,Spanyol,Perancis,Italia,Jerman,2,Menara Eiffel ada di Perancis.
Q_0077,Geo Explorer,Text,GE_17,Laut manakah yang terluas di dunia?,India,Arktik,Atlantik,Pasifik,4,Samudra Pasifik adalah yang terbesar.
Q_0078,Geo Explorer,Text,GE_18,Kota manakah yang dikenal sebagai Big Apple?,Los Angeles,Chicago,New York,Boston,3,New York disebut Big Apple.
Q_0079,Geo Explorer,Text,GE_19,Negara mana yang memiliki Tembok Besar?,Cina,India,Mongolia,Jepang,1,Tembok Besar ada di Tiongkok.
Q_0080,Geo Explorer,Text,GE_20,Di benua manakah letak Mesir?,Australia,Afrika,Asia,Eropa,2,Mesir berada di Afrika.
Q_0081,Geo Explorer,Text,GE_21,Negara manakah yang beribu kota Roma?,Italia,Spanyol,Portugal,Perancis,1,Roma adalah ibu kota Italia.
Q_0082,Geo Explorer,Text,GE_22,Sungai manakah yang mengalir melalui Paris?,Danube,Sungai Thames,Rhein,Pukat,4,Sungai Seine mengalir melalui Paris.
Q_0083,Geo Explorer,Text,GE_23,Benua manakah yang terdingin?,Antartika,Afrika,Asia,Eropa,1,Antartika adalah benua terdingin.
Q_0084,Geo Explorer,Text,GE_24,Negara manakah yang bentuknya seperti sepatu bot?,Spanyol,Italia,Perancis,Yunani,2,Italia terlihat seperti sepatu bot.
Q_0085,Geo Explorer,Text,GE_25,Negara manakah yang disebut juga dengan Down Under?,Argentina,Afrika Selatan,Selandia Baru,Australia,4,Australia disebut Down Under.
Q_0086,Geo Explorer,Text,GE_26,Laut manakah yang terletak di sebelah barat Afrika?,Pasifik,Atlantik,Arktik,India,2,Samudera Atlantik terletak di sebelah barat Afrika.
Q_0087,Geo Explorer,Text,GE_27,Kota manakah yang terkenal dengan Patung Liberty?,Roma,Paris,New York,Washington DC,3,Patung Liberty ada di New York.
Q_0088,Geo Explorer,Text,GE_28,Negara mana yang memiliki pulau paling banyak?,Jepang,Swedia,Filipina,Indonesia,2,Swedia memiliki pulau terbanyak.
