QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,किस ग्रह को लाल ग्रह के नाम से जाना जाता है?,शुक्र,मंगल ग्रह,बृहस्पति,धरती,2,मंगल ग्रह को लाल ग्रह कहा जाता है।
Q_0002,Speed Quiz,Text,SQ_02,H2O को सामान्यतः किस नाम से जाना जाता है?,ऑक्सीजन,हाइड्रोजन,नमक,पानी,4,H2O पानी है.
Q_0003,Speed Quiz,Text,SQ_03,कितने महाद्वीप हैं?,5,8,6,7,4,7 महाद्वीप हैं.
Q_0004,Speed Quiz,Text,SQ_04,पौधे कौन सी गैस अवशोषित करते हैं?,नाइट्रोजन,हाइड्रोजन,कार्बन डाईऑक्साइड,ऑक्सीजन,3,पौधे CO2 को अवशोषित करते हैं।
Q_0005,Speed Quiz,Text,SQ_05,पानी का क्वथनांक क्या है?,100°C,200°से,150°से,50°से,1,पानी 100°C पर उबलता है.
Q_0006,Speed Quiz,Text,SQ_06,किस जानवर को जंगल का राजा कहा जाता है?,हाथी,शेर,तेंदुआ,चीता,2,शेर को जंगल का राजा कहा जाता है।
Q_0007,Speed Quiz,Text,SQ_07,लीप वर्ष में कितने दिन होते हैं?,367,365,364,366,4,लीप वर्ष में 366 दिन होते हैं।
Q_0008,Speed Quiz,Text,SQ_08,कौन सी धातु कमरे के तापमान पर तरल होती है?,सोना,लोहा,बुध,चाँदी,3,पारा कमरे के तापमान पर तरल होता है।
Q_0009,Speed Quiz,Text,SQ_09,देखने के लिए किस ज्ञानेन्द्रिय का प्रयोग किया जाता है?,त्वचा,नाक,आँख,कान,3,आंखें हमें देखने में मदद करती हैं।
Q_0010,Speed Quiz,Text,SQ_10,सबसे बड़ा स्तनपायी कौन सा है?,जिराफ,ब्लू व्हेल,हाथी,गैंडा,2,ब्लू व्हेल सबसे बड़ा स्तनपायी है।
Q_0011,Speed Quiz,Text,SQ_11,सूर्य के प्रकाश से हमें कौन सा विटामिन मिलता है?,विटामिन बी,विटामिन सी,विटामिन डी,विटामिन ए,3,सूर्य की रोशनी से विटामिन डी मिलता है।
Q_0012,Speed Quiz,Text,SQ_12,मधुमक्खियाँ फूलों से क्या एकत्र करती हैं?,पत्तियों,पानी,शहद,पराग,4,मधुमक्खियाँ पराग एकत्र करती हैं।
Q_0013,Speed Quiz,Text,SQ_13,किस आकृति की तीन भुजाएँ होती हैं?,त्रिकोण,आयत,वर्ग,घेरा,1,त्रिभुज की तीन भुजाएँ होती हैं।
Q_0014,Speed Quiz,Text,SQ_14,स्पष्ट दिन पर आकाश का रंग कैसा होता है?,हरा,लाल,पीला,नीला,4,प्रकीर्णन के कारण आकाश नीला दिखाई देता है।
Q_0015,Speed Quiz,Text,SQ_15,मकड़ी के कितने पैर होते हैं?,8,10,6,12,1,मकड़ियों के 8 पैर होते हैं.
Q_0016,Speed Quiz,Text,SQ_16,तापमान मापने के लिए किस उपकरण का प्रयोग किया जाता है?,आर्द्रतामापी,थर्मामीटर,स्पीडोमीटर,बैरोमीटर,2,Thermometer measures temperature.
Q_0017,Speed Quiz,Text,SQ_17,सितंबर के बाद कौन सा महीना आता है?,अगस्त,नवंबर,दिसंबर,अक्टूबर,4,अक्टूबर सितंबर के बाद आता है।
Q_0018,Speed Quiz,Text,SQ_18,कौन सा जानवर अपनी लंबी गर्दन के लिए जाना जाता है?,ज़ेबरा,ऊंट,घोड़ा,जिराफ,4,जिराफ़ की गर्दन लम्बी होती है.
Q_0019,Speed Quiz,Text,SQ_19,जीवित रहने के लिए हम क्या साँस लेते हैं?,कार्बन डाईऑक्साइड,ऑक्सीजन,हीलियम,नाइट्रोजन,2,जीवन के लिए ऑक्सीजन आवश्यक है।
Q_0020,Speed Quiz,Text,SQ_20,कौन सी वस्तु हमें दिन में रोशनी देती है?,सितारे,बल्ब,सूरज,चंद्रमा,3,सूर्य दिन का प्रकाश प्रदान करता है।
Q_0021,Speed Quiz,Text,SQ_21,एक दिन में कितने घंटे होते हैं?,24,30,12,18,1,एक दिन में 24 घंटे होते हैं.
Q_0022,Speed Quiz,Text,SQ_22,कौन सा जानवर पानी में रहता है और गलफड़ों से सांस लेता है?,मछली,व्हेल,डॉल्फिन,कुत्ता,1,मछलियाँ गलफड़ों से सांस लेती हैं।
Q_0023,Speed Quiz,Text,SQ_23,जल का हिमांक बिंदु क्या है?,50°से,100°C,0°C,10°से,3,पानी 0°C पर जम जाता है।
Q_0024,Speed Quiz,Text,SQ_24,मानव शरीर में कौन सा अंग रक्त पंप करता है?,जिगर,दिल,दिमाग,फेफड़े,2,हृदय रक्त पम्प करता है।
Q_0025,Speed Quiz,Text,SQ_25,शुक्रवार के बाद कौन सा दिन आता है?,रविवार,शनिवार,सोमवार,गुरुवार,2,शुक्रवार के बाद शनिवार आता है.
Q_0026,Speed Quiz,Text,SQ_26,गर्म का विपरीत क्या है?,गरम,सूखा,ठंडा,ठंडा,3,ठंड गर्म के विपरीत है।
Q_0027,Speed Quiz,Text,SQ_27,पौधे का कौन सा भाग भोजन बनाता है?,तना,पत्ता,फूल,जड़,2,पत्तियाँ प्रकाश संश्लेषण द्वारा भोजन बनाती हैं।
