QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,赤い惑星として知られている惑星はどれですか?,金星,火星,木星,地球,2,火星は赤い惑星と呼ばれます。
Q_0002,Speed Quiz,Text,SQ_02,H2O は一般に何として知られていますか?,酸素,水素,塩,水,4,H2Oは水です。
Q_0003,Speed Quiz,Text,SQ_03,大陸はいくつありますか?,5,8,6,7,4,大陸は7つあります。
Q_0004,Speed Quiz,Text,SQ_04,植物はどのガスを吸収しますか?,窒素,水素,二酸化炭素,酸素,3,植物はCO2を吸収します。
Q_0005,Speed Quiz,Text,SQ_05,水の沸点は何度ですか?,100℃,200℃,150℃,50℃,1,水は100℃で沸騰します。
Q_0006,Speed Quiz,Text,SQ_06,ジャングルの王として知られている動物はどれですか?,象,ライオン,ヒョウ,虎,2,ライオンはジャングルの王と呼ばれています。
Q_0007,Speed Quiz,Text,SQ_07,うるう年は何日ありますか?,367,365,364,366,4,うるう年は 366 日あります。
Q_0008,Speed Quiz,Text,SQ_08,室温で液体の金属はどれですか?,金,鉄,水銀,銀,3,水銀は室温では液体です。
Q_0009,Speed Quiz,Text,SQ_09,どの感覚器官が見るために使用されますか?,肌,鼻,目,耳,3,目は私たちが見るのに役立ちます。
Q_0010,Speed Quiz,Text,SQ_10,最大の哺乳類は何ですか?,キリン,シロナガスクジラ,象,サイ,2,シロナガスクジラは最大の哺乳類です。
Q_0011,Speed Quiz,Text,SQ_11,私たちは日光からどのビタミンを摂取できるでしょうか?,ビタミンB,ビタミンC,ビタミンD,ビタミンA,3,日光はビタミンDを与えます。
Q_0012,Speed Quiz,Text,SQ_12,ミツバチは花から何を集めますか?,葉,水,ハニー,花粉,4,ミツバチは花粉を集めます。
Q_0013,Speed Quiz,Text,SQ_13,3 つの側面がある形はどれですか?,三角形,矩形,四角,丸,1,三角形には 3 つの辺があります。
Q_0014,Speed Quiz,Text,SQ_14,晴れた日の空の色は何色ですか?,緑,赤,黄色,青,4,散乱により空が青く見えます。
Q_0015,Speed Quiz,Text,SQ_15,蜘蛛の足は何本ありますか?,8,10,6,12,1,蜘蛛の足は8本あります。
