QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,Quelle planète est connue sous le nom de planète rouge ?,Vénus,Mars,Jupiter,Terre,2,Mars est appelée la planète rouge.
Q_0002,Speed Quiz,Text,SQ_02,Comment appelle-t-on communément H2O ?,Oxygène,Hydrogène,Sel,Eau,4,H2O est de l'eau.
Q_0003,Speed Quiz,Text,SQ_03,Combien y a-t-il de continents ?,5,8,6,7,4,Il y a 7 continents.
Q_0004,Speed Quiz,Text,SQ_04,Quels gaz les plantes absorbent-elles ?,Azote,Hydrogène,Dioxyde de carbone,Oxygène,3,Les plantes absorbent le CO2.
Q_0005,Speed Quiz,Text,SQ_05,Quel est le point d’ébullition de l’eau ?,100°C,200°C,150°C,50°C,1,L'eau bout à 100°C.
Q_0006,Speed Quiz,Text,SQ_06,Quel animal est connu comme le roi de la jungle ?,Éléphant,Lion,Léopard,Tigre,2,Le Lion est appelé le Roi de la Jungle.
Q_0007,Speed Quiz,Text,SQ_07,Combien de jours y a-t-il dans une année bissextile ?,367,365,364,366,4,Les années bissextiles comptent 366 jours.
Q_0008,Speed Quiz,Text,SQ_08,Quel métal est liquide à température ambiante ?,Or,Fer,Mercure,Argent,3,Le mercure est liquide à température ambiante.
Q_0009,Speed Quiz,Text,SQ_09,Quel organe sensoriel est utilisé pour voir ?,Peau,Nez,Œil,Oreille,3,Les yeux nous aident à voir.
Q_0010,Speed Quiz,Text,SQ_10,Quel est le plus gros mammifère ?,Girafe,Baleine bleue,Éléphant,Rhinocéros,2,La baleine bleue est le plus gros mammifère.
Q_0011,Speed Quiz,Text,SQ_11,Quelle vitamine recevons-nous du soleil ?,Vitamine B,Vitamine C,Vitamine D,Vitamine A,3,La lumière du soleil donne de la vitamine D.
Q_0012,Speed Quiz,Text,SQ_12,What do bees collect from flowers?,Feuilles,Eau,Chéri,Pollen,4,Les abeilles récoltent le pollen.
Q_0013,Speed Quiz,Text,SQ_13,Quelle forme a trois côtés ?,Triangle,Rectangle,Carré,Cercle,1,Le triangle a trois côtés.
Q_0014,Speed Quiz,Text,SQ_14,Quelle est la couleur du ciel par temps clair ?,Vert,Rouge,Jaune,Bleu,4,Le ciel apparaît bleu à cause de la diffusion.
Q_0015,Speed Quiz,Text,SQ_15,Combien de pattes a une araignée ?,8,10,6,12,1,Les araignées ont 8 pattes.
Q_0016,Speed Quiz,Text,SQ_16,Quel instrument est utilisé pour mesurer la température ?,Hygromètre,Thermomètre,Compteur de vitesse,Baromètre,2,Le thermomètre mesure la température.
Q_0017,Speed Quiz,Text,SQ_17,Quel mois vient après septembre ?,Août,Novembre,Décembre,Octobre,4,Octobre suit septembre.
Q_0018,Speed Quiz,Text,SQ_18,Quel animal est connu pour son long cou ?,Zèbre,Chameau,Cheval,Girafe,4,La girafe a un long cou.
Q_0019,Speed Quiz,Text,SQ_19,Que respirons-nous pour survivre ?,Dioxyde de carbone,Oxygène,Hélium,Azote,2,L'oxygène est essentiel à la vie.
Q_0020,Speed Quiz,Text,SQ_20,Quel objet nous éclaire pendant la journée ?,Étoiles,Ampoule,Soleil,Lune,3,Le soleil apporte la lumière du jour.
Q_0021,Speed Quiz,Text,SQ_21,Combien d'heures y a-t-il dans une journée ?,24,30,12,18,1,Il y a 24 heures dans une journée.
Q_0022,Speed Quiz,Text,SQ_22,Quel animal vit dans l'eau et respire par des branchies ?,Poisson,Baleine,Dauphin,Chien,1,Les poissons respirent par des branchies.
Q_0023,Speed Quiz,Text,SQ_23,Quel est le point de congélation de l’eau ?,50°C,100°C,0°C,10°C,3,L'eau gèle à 0°C.
Q_0024,Speed Quiz,Text,SQ_24,Quel organe pompe le sang dans le corps humain ?,Foie,Cœur,Cerveau,Poumons,2,Le cœur pompe le sang.
Q_0025,Speed Quiz,Text,SQ_25,Quel jour vient après vendredi ?,Dimanche,Samedi,Lundi,Jeudi,2,Le samedi vient après le vendredi.
Q_0026,Speed Quiz,Text,SQ_26,Quel est l'inverse de chaud ?,Chaud,Sec,Froid,Cool,3,Cold is the opposite of hot.
Q_0027,Speed Quiz,Text,SQ_27,Which part of a plant makes food?,Tige,Feuille,Fleur,Racine,2,Les feuilles fabriquent de la nourriture par photosynthèse.
Q_0028,Speed Quiz,Text,SQ_28,Quelle est la principale source d’énergie de la Terre ?,Électricité,Charbon,Soleil,Vent,3,Le soleil est la principale source d'énergie.
Q_0029,Speed Quiz,Text,SQ_29,Quel animal est connu pour ses rayures noires et blanches ?,Zèbre,Cheval,Tigre,Vache,1,Le zèbre a des rayures noires et blanches.
Q_0030,Speed Quiz,Text,SQ_30,Combien de couleurs y a-t-il dans un arc-en-ciel ?,7,6,8,5,1,Il y a 7 couleurs dans un arc-en-ciel.
Q_0031,Speed Quiz,Image,IMG_001,Quel animal est représenté sur l’image ?,Renard,Panda roux,Raton laveur,Chat,2,L'image montre un panda roux.
Q_0032,Speed Quiz,Image,IMG_002,Quel fruit est présenté ?,Litchi,Papaye,Goyave,Fruit du dragon,4,C'est le fruit du dragon.
Q_0033,Speed Quiz,Image,IMG_003,De quel objet s'agit-il ?,Horloge,Boussole,Compteur de vitesse,Chronomètre,4,L'objet est un chronomètre.
Q_0034,Speed Quiz,Image,IMG_004,Quel oiseau est représenté ?,Paon,Cygne,Perroquet,Turquie,1,L'oiseau est un paon.
Q_0035,Speed Quiz,Image,IMG_005,Quel véhicule est présenté ?,Parapente,Drone,Hélicoptère,Montgolfière,4,This is a hot air balloon.
Q_0036,Speed Quiz,Image,IMG_006,Quel instrument est présenté ?,Ukulélé,Guitare,Violoncelle,Violon,4,L'instrument est un violon.
Q_0037,Speed Quiz,Image,IMG_007,Quel animal est représenté ?,Koala,Panda,Paresseux,Ours,1,L'animal est un koala.
Q_0038,Speed Quiz,Image,IMG_008,Quel outil est affiché ?,Marteau,Scie,Pinces,Clé,4,L'outil est une clé.
Q_0039,Speed Quiz,Image,IMG_009,Quelle condition météo est affichée ?,Foudre,Pluie,Neige,Brouillard,1,L'image montre des éclairs.
Q_0040,Speed Quiz,Image,IMG_010,Quelle créature marine est représentée ?,Calmar,Crabe,Pieuvre,Méduse,3,La créature est une pieuvre.
Q_0041,Speed Quiz,Image,IMG_011,Quel fruit est représenté ?,mangue,Kiwi,Avocat,Poire,3,C'est un avocat.
Q_0042,Speed Quiz,Image,IMG_012,Quel animal est représenté ?,Wallaby,Cerf,Antilope,Kangourou,4,L'animal est un kangourou.
Q_0043,Speed Quiz,Image,IMG_013,De quel objet s'agit-il ?,Horloge,Sablier,Boussole,Minuteur,2,C'est un sablier.
Q_0044,Speed Quiz,Image,IMG_014,Quel reptile est représenté ?,Iguane,Lézard,Gecko,Caméléon,4,Le reptile est un caméléon.
Q_0045,Speed Quiz,Image,IMG_015,Quel outil est affiché ?,Rapporteur,Boussole,Règle,Mètre à ruban,4,Ceci est un ruban à mesurer.
Q_0046,Speed Quiz,Image,IMG_016,Quel animal est représenté ?,Hérisson,Taupe,Tatou,Porc-épic,1,L'animal est un hérisson.
Q_0047,Speed Quiz,Image,IMG_017,Quel objet est montré ?,Terre,Carte,Balle,Globe,4,C'est un globe.
Q_0048,Speed Quiz,Image,IMG_018,Quel fruit est représenté ?,Raisins,Mûres,Groseilles,Bleuets,4,Ce sont des myrtilles.
Q_0049,Speed Quiz,Image,IMG_019,Quel animal est représenté ?,Cigogne,Héron,Grue,Flamant,4,L'oiseau est un flamant rose.
Q_0050,Speed Quiz,Image,IMG_020,Quel instrument est présenté ?,Conga,Bongo,Tambour,Tabla,3,C'est un tambour.
Q_0051,Speed Quiz,Image,IMG_021,Quel animal est représenté ?,Lama,Mouton,Alpaga,Chameau,3,L'animal est un alpaga.
Q_0052,Speed Quiz,Image,IMG_022,De quel objet s'agit-il ?,Microscope,Périscope,Télescope,Jumelles,1,C'est un microscope.
Q_0053,Speed Quiz,Image,IMG_023,Quel fruit est représenté ?,Grenade,Goyave,Pomme,Prune,1,C'est une grenade.
Q_0054,Speed Quiz,Image,IMG_024,Quel animal est représenté ?,Koala,Singe,Maki,Paresseux,4,L'animal est un paresseux.
Q_0055,Speed Quiz,Image,IMG_025,Quel objet est montré ?,Altimètre,Horloge,Boussole,Thermomètre,3,C'est une boussole.
Q_0056,Speed Quiz,Image,IMG_026,Quel animal est représenté ?,Hérisson,Taupe,Porc-épic,Tatou,4,L'animal est un tatou.
Q_0057,Speed Quiz,Image,IMG_027,Quel fruit est représenté ?,Noix de coco,Fruit à pain,Papaye,Melon,1,C'est une noix de coco.
Q_0058,Speed Quiz,Image,IMG_028,Quel outil est affiché ?,Ciseaux,Serrer,Pinces,Pinces,3,L'outil est une pince.
Q_0059,Speed Quiz,Image,IMG_029,Quel oiseau est représenté ?,Aigle,Faucon,Faucon,Hibou,4,L'oiseau est un hibou.
Q_0060,Speed Quiz,Image,IMG_030,Quel animal est représenté ?,Loutre,Furet,Suricate,Chien de prairie,3,L'animal est un suricate.
Q_0061,Geo Explorer,Text,GE_01,Quelle est la capitale du Japon ?,Pékin,Kyoto,Tokyo,Séoul,3,Tokyo est la capitale du Japon.
Q_0062,Geo Explorer,Text,GE_02,Quelle est la capitale de l'Inde ?,Bombay,Chennai,New Delhi,Calcutta,3,New Delhi est la capitale de l'Inde.
Q_0063,Geo Explorer,Text,GE_03,Quel fleuve est le plus long d'Inde ?,Godavari,Gange,Brahmapoutre,Yamuna,2,Le Gange est le plus long fleuve de l'Inde.
Q_0064,Geo Explorer,Text,GE_04,Quel pays est connu comme le Pays du Soleil Levant ?,Thaïlande,Japon,Chine,Corée,2,Le Japon est surnommé le Pays du Soleil Levant.
Q_0065,Geo Explorer,Text,GE_05,Quelle chaîne de montagnes sépare l’Inde de la Chine ?,Rocheuses,Andes,Alpes,Himalaya,4,L'Himalaya sépare l'Inde et la Chine.
Q_0066,Geo Explorer,Text,GE_06,Quel désert se trouve principalement en Inde ?,Gobi,Thar,Kalahari,Sahara,2,Le désert du Thar est en Inde.
Q_0067,Geo Explorer,Text,GE_07,Quel pays asiatique a la plus grande population ?,Chine,Japon,Indonésie,Inde,1,La Chine a la plus grande population.
Q_0068,Geo Explorer,Text,GE_08,Quel État indien a le plus long littoral ?,Gujarat,Andhra Pradesh,Tamil Nadu,Kérala,1,Le Gujarat possède le plus long littoral.
Q_0069,Geo Explorer,Text,GE_09,Dans quel pays se trouve le Népal ?,Europe,Afrique,Asie,Australie,3,Le Népal est situé en Asie.
Q_0070,Geo Explorer,Text,GE_10,Which city is known as the financial capital of India?,Chennai,Bangalore,Delhi,Bombay,4,Mumbai est la capitale financière de l'Inde.
Q_0071,Geo Explorer,Text,GE_11,Quel fleuve traverse le Bangladesh et l’Inde ?,Euphrate,Tigre,Indus,Brahmapoutre,4,Le Brahmapoutre traverse l'Inde et le Bangladesh.
Q_0072,Geo Explorer,Text,GE_12,Quelle mer se trouve au sud de l’Inde ?,mer Rouge,mer Caspienne,mer Méditerranée,Mer d'Oman,4,La mer d'Oman se trouve au sud de l'Inde.
Q_0073,Geo Explorer,Text,GE_13,De quel pays le Sri Lanka est-il le plus proche ?,Inde,Indonésie,Malaisie,Thaïlande,1,Le Sri Lanka est proche de l’Inde.
Q_0074,Geo Explorer,Text,GE_14,Quel pays asiatique a Bangkok pour capitale ?,Viêt Nam,Laos,Thaïlande,Cambodge,3,Bangkok est la capitale de la Thaïlande.
Q_0075,Geo Explorer,Text,GE_15,De quel continent l’Inde fait-elle partie ?,Afrique,Asie,Europe,Australie,2,L'Inde fait partie de l'Asie.
Q_0076,Geo Explorer,Text,GE_16,Quel pays possède la Tour Eiffel ?,Espagne,France,Italie,Allemagne,2,La Tour Eiffel est en France.
Q_0077,Geo Explorer,Text,GE_17,Quel océan est le plus grand du monde ?,indien,Arctique,atlantique,Pacifique,4,L'océan Pacifique est le plus grand.
Q_0078,Geo Explorer,Text,GE_18,Quelle ville est connue sous le nom de Big Apple ?,Los Angeles,Chicago,New York,Boston,3,New York est surnommée la Big Apple.
Q_0079,Geo Explorer,Text,GE_19,Quel pays possède la Grande Muraille ?,Chine,Inde,Mongolie,Japon,1,La Grande Muraille est en Chine.
Q_0080,Geo Explorer,Text,GE_20,Sur quel continent se trouve l’Égypte ?,Australie,Afrique,Asie,Europe,2,L'Egypte est en Afrique.
Q_0081,Geo Explorer,Text,GE_21,Quel pays a Rome pour capitale ?,Italie,Espagne,Portugal,France,1,Rome est la capitale de l'Italie.
