QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,哪颗行星被称为红色星球？,金星,火星,木星,地球,2,Mars is called the Red Planet.
Q_0002,Speed Quiz,Text,SQ_02,H2O俗称什么？,氧,氢,盐,水,4,H2O是水。
Q_0003,Speed Quiz,Text,SQ_03,有多少个大陆？,5,8,6,7,4,有7大洲。
Q_0004,Speed Quiz,Text,SQ_04,植物吸收哪些气体？,氮,氢,二氧化碳,氧,3,植物吸收二氧化碳。
Q_0005,Speed Quiz,Text,SQ_05,水的沸点是多少？,100℃,200℃,150℃,50℃,1,水在 100°C 时沸腾。
Q_0006,Speed Quiz,Text,SQ_06,哪种动物被称为丛林之王？,大象,狮子,豹,老虎,2,Lion is called the King of the Jungle.
Q_0007,Speed Quiz,Text,SQ_07,闰年有多少天？,367,365,364,366,4,闰年有 366 天。
Q_0008,Speed Quiz,Text,SQ_08,哪种金属在室温下是液态？,金子,铁,汞,银,3,Mercury is liquid at room temperature.
Q_0009,Speed Quiz,Text,SQ_09,哪个感觉器官是用来看的？,皮肤,鼻子,眼睛,耳朵,3,眼睛帮助我们看见。
Q_0010,Speed Quiz,Text,SQ_10,最大的哺乳动物是什么？,长颈鹿,蓝鲸,大象,犀牛,2,Blue Whale is the largest mammal.
Q_0011,Speed Quiz,Text,SQ_11,我们从阳光中获取哪种维生素？,维生素B,维生素C,维生素D,维生素A,3,Sunlight gives Vitamin D.
Q_0012,Speed Quiz,Text,SQ_12,蜜蜂从花中采集什么？,树叶,水,蜂蜜,花粉,4,蜜蜂采集花粉。
Q_0013,Speed Quiz,Text,SQ_13,哪种形状有三个边？,三角形,长方形,正方形,圆圈,1,Triangle has three sides.
Q_0014,Speed Quiz,Text,SQ_14,晴天时天空的颜色是什么？,绿色的,红色的,黄色的,蓝色的,4,Sky appears blue due to scattering.
Q_0015,Speed Quiz,Text,SQ_15,蜘蛛有几条腿？,8,10,6,12,1,蜘蛛有8条腿。
Q_0016,Speed Quiz,Text,SQ_16,测量温度用什么仪器？,湿度计,温度计,车速表,晴雨表,2,Thermometer measures temperature.
Q_0017,Speed Quiz,Text,SQ_17,九月之后是哪一个月？,八月,十一月,十二月,十月,4,October follows September.
Q_0018,Speed Quiz,Text,SQ_18,哪种动物以其长脖子而闻名？,斑马,骆驼,马,长颈鹿,4,长颈鹿的脖子很长。
Q_0019,Speed Quiz,Text,SQ_19,我们呼吸什么才能生存？,二氧化碳,氧,氦,氮,2,Oxygen is essential for life.
Q_0020,Speed Quiz,Text,SQ_20,白天哪个物体给我们提供光？,星星,电灯泡,太阳,月亮,3,太阳提供日光。
Q_0021,Speed Quiz,Text,SQ_21,一天有多少个小时？,24,30,12,18,1,There are 24 hours in a day.
Q_0022,Speed Quiz,Text,SQ_22,哪种动物生活在水中并通过鳃呼吸？,鱼,鲸,海豚,狗,1,Fish breathe through gills.
Q_0023,Speed Quiz,Text,SQ_23,水的冰点是多少？,50℃,100℃,0℃,10℃,3,水在 0°C 时结冰。
Q_0024,Speed Quiz,Text,SQ_24,Which organ pumps blood in the human body?,肝,心,脑,肺,2,心脏泵血。
Q_0025,Speed Quiz,Text,SQ_25,星期五之后是哪一天？,星期日,周六,周一,周四,2,Saturday comes after Friday.
Q_0026,Speed Quiz,Text,SQ_26,热的反义词是什么？,温暖的,干燥,寒冷的,凉爽的,3,Cold is the opposite of hot.
Q_0027,Speed Quiz,Text,SQ_27,植物的哪一部分制造食物？,干,叶子,花,根,2,Leaves make food by photosynthesis.
Q_0028,Speed Quiz,Text,SQ_28,地球的主要能源是什么？,电,煤炭,太阳,风,3,Sun is the main energy source.
Q_0029,Speed Quiz,Text,SQ_29,哪种动物以其黑白条纹而闻名？,斑马,马,老虎,奶牛,1,Zebra has black and white stripes.
Q_0030,Speed Quiz,Text,SQ_30,彩虹有多少种颜色？,7,6,8,5,1,There are 7 colors in a rainbow.
Q_0031,Speed Quiz,Image,IMG_001,图片中显示的是哪种动物？,狐狸,小熊猫,狸,猫,2,The image shows a red panda.
Q_0032,Speed Quiz,Image,IMG_002,显示什么水果？,荔枝,木瓜,番石榴,火龙果,4,这是火龙果。
Q_0033,Speed Quiz,Image,IMG_003,这是哪个物体？,钟,罗盘,车速表,跑表,4,The object is a stopwatch.
Q_0034,Speed Quiz,Image,IMG_004,显示的是哪只鸟？,孔雀,天鹅,鹦鹉,火鸡,1,这只鸟是孔雀。
Q_0035,Speed Quiz,Image,IMG_005,显示的是哪辆车？,滑翔伞,无人机,直升机,热气球,4,This is a hot air balloon.
Q_0036,Speed Quiz,Image,IMG_006,显示的是哪种仪器？,尤克里里,吉他,大提琴,小提琴,4,The instrument is a violin.
Q_0037,Speed Quiz,Image,IMG_007,显示的是哪种动物？,考拉,熊猫,树懒,熊,1,该动物是考拉。
Q_0038,Speed Quiz,Image,IMG_008,显示什么工具？,锤,锯,钳,扳手,4,工具是扳手。
Q_0039,Speed Quiz,Image,IMG_009,显示哪种天气状况？,闪电,雨,雪,多雾路段,1,The image shows lightning.
Q_0040,Speed Quiz,Image,IMG_010,图中展示的是哪种海洋生物？,乌贼,螃蟹,章鱼,海蜇,3,The creature is an octopus.
Q_0041,Speed Quiz,Image,IMG_011,显示的是哪种水果？,芒果,猕猴桃,牛油果,梨,3,这是鳄梨。
Q_0042,Speed Quiz,Image,IMG_012,显示的是哪种动物？,袋鼠,鹿,羚羊,袋鼠,4,The animal is a kangaroo.
Q_0043,Speed Quiz,Image,IMG_013,这是什么物体？,钟,滴漏,罗盘,定时器,2,这是一个沙漏。
Q_0044,Speed Quiz,Image,IMG_014,显示的是哪种爬行动物？,鬣蜥,蜥蜴,壁虎,变色龙,4,The reptile is a chameleon.
Q_0045,Speed Quiz,Image,IMG_015,显示的是哪个工具？,量角器,罗盘,统治者,卷尺,4,这是卷尺。
