QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,ما هو الكوكب المعروف بالكوكب الأحمر؟,فينوس,المريخ,كوكب المشتري,أرض,2,المريخ يسمى الكوكب الأحمر.
Q_0002,Speed Quiz,Text,SQ_02,ما هو H2O المعروف باسم؟,الأكسجين,هيدروجين,ملح,ماء,4,H2O هو الماء.
Q_0003,Speed Quiz,Text,SQ_03,كم عدد القارات هناك؟,5,8,6,7,4,هناك 7 قارات.
Q_0004,Speed Quiz,Text,SQ_04,ما الغاز الذي تمتصه النباتات؟,نتروجين,هيدروجين,ثاني أكسيد الكربون,الأكسجين,3,تمتص النباتات ثاني أكسيد الكربون.
Q_0005,Speed Quiz,Text,SQ_05,ما هي درجة غليان الماء؟,100 درجة مئوية,200 درجة مئوية,150 درجة مئوية,50 درجة مئوية,1,يغلي الماء عند 100 درجة مئوية.
Q_0006,Speed Quiz,Text,SQ_06,ما هو الحيوان الملقب بملك الغابة؟,Elephant,الأسد,الفهد,نمر,2,الأسد يُلقب بملك الغابة.
Q_0007,Speed Quiz,Text,SQ_07,كم عدد الأيام الموجودة في السنة الكبيسة؟,367,365,364,366,4,السنة الكبيسة عددها 366 يوما.
Q_0008,Speed Quiz,Text,SQ_08,ما هو المعدن السائل في درجة حرارة الغرفة؟,ذهب,حديد,الزئبق,فضي,3,الزئبق سائل في درجة حرارة الغرفة.
Q_0009,Speed Quiz,Text,SQ_09,ما هو العضو الحسي الذي يستخدم للرؤية؟,جلد,أنف,عين,أذن,3,العيون تساعدنا على الرؤية.
Q_0010,Speed Quiz,Text,SQ_10,ما هو أكبر الثدييات؟,زرافة,الحوت الأزرق,الفيل,وحيد القرن,2,الحوت الأزرق هو أكبر الثدييات.
Q_0011,Speed Quiz,Text,SQ_11,ما هو الفيتامين الذي نحصل عليه من أشعة الشمس؟,فيتامين ب,فيتامين ج,فيتامين د,فيتامين أ,3,ضوء الشمس يعطي فيتامين د.
Q_0012,Speed Quiz,Text,SQ_12,ماذا يجمع النحل من الزهور؟,أوراق,ماء,عسل,حبوب اللقاح,4,يجمع النحل حبوب اللقاح.
Q_0013,Speed Quiz,Text,SQ_13,ما الشكل الذي له ثلاثة جوانب؟,مثلث,المستطيل,مربع,دائرة,1,المثلث له ثلاثة جوانب.
Q_0014,Speed Quiz,Text,SQ_14,ما هو لون السماء في يوم صاف؟,أخضر,أحمر,أصفر,أزرق,4,تظهر السماء باللون الأزرق بسبب التشتت.
Q_0015,Speed Quiz,Text,SQ_15,كم عدد أرجل العنكبوت؟,8,10,6,12,1,العناكب لها 8 أرجل.
Q_0016,Speed Quiz,Text,SQ_16,ما هو الجهاز المستخدم لقياس درجة الحرارة؟,مقياس الرطوبة,ميزان الحرارة,عداد السرعة,بارومتر,2,ميزان الحرارة يقيس درجة الحرارة.
Q_0017,Speed Quiz,Text,SQ_17,أي شهر يأتي بعد سبتمبر؟,أغسطس,نوفمبر,ديسمبر,أكتوبر,4,أكتوبر يتبع سبتمبر.
Q_0018,Speed Quiz,Text,SQ_18,ما هو الحيوان المعروف برقبته الطويلة؟,حمار وحشي,جمل,حصان,زرافة,4,الزرافة لديها رقبة طويلة.
Q_0019,Speed Quiz,Text,SQ_19,ماذا نتنفس من أجل البقاء؟,ثاني أكسيد الكربون,الأكسجين,هيليوم,نتروجين,2,الأكسجين ضروري للحياة.
Q_0020,Speed Quiz,Text,SQ_20,ما هو الجسم الذي يعطينا الضوء خلال النهار؟,النجوم,لمبة,شمس,قمر,3,توفر الشمس ضوء النهار.
Q_0021,Speed Quiz,Text,SQ_21,كم عدد الساعات الموجودة في اليوم الواحد؟,24,30,12,18,1,هناك 24 ساعة في اليوم.
Q_0022,Speed Quiz,Text,SQ_22,ما هو الحيوان الذي يعيش في الماء ويتنفس عن طريق الخياشيم؟,سمكة,حوت,دولفين,كلب,1,تتنفس الأسماك من خلال الخياشيم.
Q_0023,Speed Quiz,Text,SQ_23,ما هي درجة تجمد الماء؟,50 درجة مئوية,100 درجة مئوية,0 درجة مئوية,10 درجة مئوية,3,يتجمد الماء عند 0 درجة مئوية.
Q_0024,Speed Quiz,Text,SQ_24,ما هو العضو الذي يضخ الدم في جسم الإنسان؟,الكبد,قلب,مخ,الرئتين,2,القلب يضخ الدم .
