QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanation
Q_0001,Speed Quiz,Text,SQ_01,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Earth,2,Mars is called the Red Planet.
Q_0002,Speed Quiz,Text,SQ_02,What is H2O commonly known as?,Oxygen,Hydrogen,Salt,Water,4,H2O is water.
Q_0003,Speed Quiz,Text,SQ_03,How many continents are there?,5,8,6,7,4,There are 7 continents.
Q_0004,Speed Quiz,Text,SQ_04,Which gas do plants absorb?,Nitrogen,Hydrogen,Carbon Dioxide,Oxygen,3,Plants absorb CO2.
Q_0005,Speed Quiz,Text,SQ_05,What is the boiling point of water?,100°C,200°C,150°C,50°C,1,Water boils at 100°C.
Q_0006,Speed Quiz,Text,SQ_06,Which animal is known as the King of the Jungle?,Elephant,Lion,Leopard,Tiger,2,Lion is called the King of the Jungle.
Q_0007,Speed Quiz,Text,SQ_07,How many days are there in a leap year?,367,365,364,366,4,Leap year has 366 days.
Q_0008,Speed Quiz,Text,SQ_08,Which metal is liquid at room temperature?,Gold,Iron,Mercury,Silver,3,Mercury is liquid at room temperature.
Q_0009,Speed Quiz,Text,SQ_09,Which sense organ is used to see?,Skin,Nose,Eye,Ear,3,Eyes help us see.
Q_0010,Speed Quiz,Text,SQ_10,What is the largest mammal?,Giraffe,Blue Whale,Elephant,Rhino,2,Blue Whale is the largest mammal.
Q_0011,Speed Quiz,Text,SQ_11,Which vitamin do we get from sunlight?,Vitamin B,Vitamin C,Vitamin D,Vitamin A,3,Sunlight gives Vitamin D.
Q_0012,Speed Quiz,Text,SQ_12,What do bees collect from flowers?,Leaves,Water,Honey,Pollen,4,Bees collect pollen.
Q_0013,Speed Quiz,Text,SQ_13,Which shape has three sides?,Triangle,Rectangle,Square,Circle,1,Triangle has three sides.
Q_0014,Speed Quiz,Text,SQ_14,What is the color of the sky on a clear day?,Green,Red,Yellow,Blue,4,Sky appears blue due to scattering.
Q_0015,Speed Quiz,Text,SQ_15,How many legs does a spider have?,8,10,6,12,1,Spiders have 8 legs.
Q_0016,Speed Quiz,Text,SQ_16,Which instrument is used to measure temperature?,Hygrometer,Thermometer,Speedometer,Barometer,2,Thermometer measures temperature.
Q_0017,Speed Quiz,Text,SQ_17,Which month comes after September?,August,November,December,October,4,October follows September.
Q_0018,Speed Quiz,Text,SQ_18,Which animal is known for its long neck?,Zebra,Camel,Horse,Giraffe,4,Giraffe has a long neck.
Q_0019,Speed Quiz,Text,SQ_19,What do we breathe in to survive?,Carbon Dioxide,Oxygen,Helium,Nitrogen,2,Oxygen is essential for life.
Q_0020,Speed Quiz,Text,SQ_20,Which object gives us light during the day?,Stars,Bulb,Sun,Moon,3,Sun provides daylight.
Q_0021,Speed Quiz,Text,SQ_21,How many hours are there in a day?,24,30,12,18,1,There are 24 hours in a day.
Q_0022,Speed Quiz,Text,SQ_22,Which animal lives in water and breathes through gills?,Fish,Whale,Dolphin,Dog,1,Fish breathe through gills.
Q_0023,Speed Quiz,Text,SQ_23,What is the freezing point of water?,50°C,100°C,0°C,10°C,3,Water freezes at 0°C.
Q_0024,Speed Quiz,Text,SQ_24,Which organ pumps blood in the human body?,Liver,Heart,Brain,Lungs,2,Heart pumps blood.
Q_0025,Speed Quiz,Text,SQ_25,Which day comes after Friday?,Sunday,Saturday,Monday,Thursday,2,Saturday comes after Friday.
Q_0026,Speed Quiz,Text,SQ_26,What is the opposite of hot?,Warm,Dry,Cold,Cool,3,Cold is the opposite of hot.
Q_0027,Speed Quiz,Text,SQ_27,Which part of a plant makes food?,Stem,Leaf,Flower,Root,2,Leaves make food by photosynthesis.
Q_0028,Speed Quiz,Text,SQ_28,What is the main source of energy for Earth?,Electricity,Coal,Sun,Wind,3,Sun is the main energy source.
Q_0029,Speed Quiz,Text,SQ_29,Which animal is known for its black and white stripes?,Zebra,Horse,Tiger,Cow,1,Zebra has black and white stripes.
Q_0030,Speed Quiz,Text,SQ_30,How many colors are there in a rainbow?,7,6,8,5,1,There are 7 colors in a rainbow.
Q_0031,Speed Quiz,Image,IMG_001,Which animal is shown in the image?,Fox,Red Panda,Raccoon,Cat,2,The image shows a red panda.
Q_0032,Speed Quiz,Image,IMG_002,What fruit is shown?,Lychee,Papaya,Guava,Dragon Fruit,4,This is dragon fruit.
Q_0033,Speed Quiz,Image,IMG_003,Which object is this?,Clock,Compass,Speedometer,Stopwatch,4,The object is a stopwatch.
Q_0034,Speed Quiz,Image,IMG_004,Which bird is shown?,Peacock,Swan,Parrot,Turkey,1,The bird is a peacock.
Q_0035,Speed Quiz,Image,IMG_005,Which vehicle is shown?,Paraglider,Drone,Helicopter,Hot Air Balloon,4,This is a hot air balloon.
Q_0036,Speed Quiz,Image,IMG_006,Which instrument is shown?,Ukulele,Guitar,Cello,Violin,4,The instrument is a violin.
Q_0037,Speed Quiz,Image,IMG_007,Which animal is shown?,Koala,Panda,Sloth,Bear,1,The animal is a koala.
Q_0038,Speed Quiz,Image,IMG_008,What tool is shown?,Hammer,Saw,Pliers,Wrench,4,The tool is a wrench.
Q_0039,Speed Quiz,Image,IMG_009,Which weather condition is shown?,Lightning,Rain,Snow,Fog,1,The image shows lightning.
Q_0040,Speed Quiz,Image,IMG_010,Which sea creature is shown?,Squid,Crab,Octopus,Jellyfish,3,The creature is an octopus.
Q_0041,Speed Quiz,Image,IMG_011,Which fruit is shown?,Mango,Kiwi,Avocado,Pear,3,This is an avocado.
Q_0042,Speed Quiz,Image,IMG_012,Which animal is shown?,Wallaby,Deer,Antelope,Kangaroo,4,The animal is a kangaroo.
Q_0043,Speed Quiz,Image,IMG_013,What object is this?,Clock,Hourglass,Compass,Timer,2,This is an hourglass.
Q_0044,Speed Quiz,Image,IMG_014,Which reptile is shown?,Iguana,Lizard,Gecko,Chameleon,4,The reptile is a chameleon.
Q_0045,Speed Quiz,Image,IMG_015,Which tool is shown?,Protractor,Compass,Ruler,Tape Measure,4,This is a tape measure.
Q_0046,Speed Quiz,Image,IMG_016,Which animal is shown?,Hedgehog,Mole,Armadillo,Porcupine,1,The animal is a hedgehog.
Q_0047,Speed Quiz,Image,IMG_017,Which object is shown?,Earth,Map,Ball,Globe,4,This is a globe.
Q_0048,Speed Quiz,Image,IMG_018,Which fruit is shown?,Grapes,Blackberries,Currants,Blueberries,4,These are blueberries.
Q_0049,Speed Quiz,Image,IMG_019,Which animal is shown?,Stork,Heron,Crane,Flamingo,4,The bird is a flamingo.
Q_0050,Speed Quiz,Image,IMG_020,Which instrument is shown?,Conga,Bongo,Drum,Tabla,3,This is a drum.
Q_0051,Speed Quiz,Image,IMG_021,Which animal is shown?,Llama,Sheep,Alpaca,Camel,3,The animal is an alpaca.
Q_0052,Speed Quiz,Image,IMG_022,What object is this?,Microscope,Periscope,Telescope,Binoculars,1,This is a microscope.
Q_0053,Speed Quiz,Image,IMG_023,Which fruit is shown?,Pomegranate,Guava,Apple,Plum,1,This is a pomegranate.
Q_0054,Speed Quiz,Image,IMG_024,Which animal is shown?,Koala,Monkey,Lemur,Sloth,4,The animal is a sloth.
Q_0055,Speed Quiz,Image,IMG_025,Which object is shown?,Altimeter,Clock,Compass,Thermometer,3,This is a compass.
Q_0056,Speed Quiz,Image,IMG_026,Which animal is shown?,Hedgehog,Mole,Porcupine,Armadillo,4,The animal is an armadillo.
Q_0057,Speed Quiz,Image,IMG_027,Which fruit is shown?,Coconut,Breadfruit,Papaya,Melon,1,This is a coconut.
Q_0058,Speed Quiz,Image,IMG_028,Which tool is shown?,Scissors,Clamp,Pliers,Tongs,3,The tool is pliers.
Q_0059,Speed Quiz,Image,IMG_029,Which bird is shown?,Eagle,Hawk,Falcon,Owl,4,The bird is an owl.
Q_0060,Speed Quiz,Image,IMG_030,Which animal is shown?,Otter,Ferret,Meerkat,Prairie Dog,3,The animal is a meerkat.
Q_0061,Geo Explorer,Text,GE_01,What is the capital of Japan?,Beijing,Kyoto,Tokyo,Seoul,3,Tokyo is the capital of Japan.
Q_0062,Geo Explorer,Text,GE_02,What is the capital of India?,Mumbai,Chennai,New Delhi,Kolkata,3,New Delhi is the capital of India.
Q_0063,Geo Explorer,Text,GE_03,Which river is the longest in India?,Godavari,Ganga,Brahmaputra,Yamuna,2,The Ganga is the longest river in India.
Q_0064,Geo Explorer,Text,GE_04,Which country is known as the Land of the Rising Sun?,Thailand,Japan,China,Korea,2,Japan is called the Land of the Rising Sun.
Q_0065,Geo Explorer,Text,GE_05,Which mountain range separates India and China?,Rockies,Andes,Alps,Himalayas,4,The Himalayas separate India and China.
Q_0066,Geo Explorer,Text,GE_06,Which desert is located mainly in India?,Gobi,Thar,Kalahari,Sahara,2,The Thar Desert is in India.
