QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,Quale pianeta è conosciuto come il Pianeta Rosso?,Venere,Marte,Giove,Terra,2,Marte è chiamato il Pianeta Rosso.
Q_0002,Speed Quiz,Text,SQ_02,Come è comunemente conosciuta l'H2O?,Ossigeno,Idrogeno,Sale,Acqua,4,H2O is water.
Q_0003,Speed Quiz,Text,SQ_03,Quanti continenti ci sono?,5,8,6,7,4,There are 7 continents.
Q_0004,Speed Quiz,Text,SQ_04,Quale gas assorbono le piante?,Azoto,Idrogeno,Anidride carbonica,Ossigeno,3,Plants absorb CO2.
Q_0005,Speed Quiz,Text,SQ_05,Qual è il punto di ebollizione dell'acqua?,100°C,200°C,150°C,50°C,1,Water boils at 100°C.
Q_0006,Speed Quiz,Text,SQ_06,Quale animale è conosciuto come il re della giungla?,Elefante,Leone,Leopardo,Tigre,2,Il leone è chiamato il re della giungla.
Q_0007,Speed Quiz,Text,SQ_07,Quanti giorni ci sono in un anno bisestile?,367,365,364,366,4,Leap year has 366 days.
Q_0008,Speed Quiz,Text,SQ_08,Quale metallo è liquido a temperatura ambiente?,Oro,Ferro,Mercurio,Argento,3,Il mercurio è liquido a temperatura ambiente.
Q_0009,Speed Quiz,Text,SQ_09,Quale organo di senso viene utilizzato per vedere?,Pelle,Naso,Occhio,Orecchio,3,Eyes help us see.
Q_0010,Speed Quiz,Text,SQ_10,Qual è il mammifero più grande?,Giraffa,Balena Blu,Elefante,Rinoceronte,2,La balenottera azzurra è il mammifero più grande.
Q_0011,Speed Quiz,Text,SQ_11,Quale vitamina otteniamo dalla luce solare?,Vitamina B,Vitamina C,Vitamin D,Vitamina A,3,La luce solare fornisce vitamina D.
Q_0012,Speed Quiz,Text,SQ_12,Cosa raccolgono le api dai fiori?,Foglie,Acqua,Miele,Polline,4,Bees collect pollen.
Q_0013,Speed Quiz,Text,SQ_13,Quale forma ha tre lati?,Triangolo,Rettangolo,Piazza,Cerchio,1,Il triangolo ha tre lati.
Q_0014,Speed Quiz,Text,SQ_14,Qual è il colore del cielo in una giornata limpida?,Verde,Rosso,Giallo,Blu,4,Il cielo appare blu a causa della dispersione.
Q_0015,Speed Quiz,Text,SQ_15,Quante zampe ha un ragno?,8,10,6,12,1,Spiders have 8 legs.
Q_0016,Speed Quiz,Text,SQ_16,Quale strumento viene utilizzato per misurare la temperatura?,Igrometro,Termometro,Tachimetro,Barometro,2,Il termometro misura la temperatura.
Q_0017,Speed Quiz,Text,SQ_17,Quale mese viene dopo settembre?,agosto,novembre,Dicembre,ottobre,4,Ottobre segue settembre.
Q_0018,Speed Quiz,Text,SQ_18,Quale animale è noto per il suo collo lungo?,Zebra,Cammello,Cavallo,Giraffa,4,Giraffe has a long neck.
Q_0019,Speed Quiz,Text,SQ_19,Cosa inspiriamo per sopravvivere?,Anidride carbonica,Ossigeno,Elio,Azoto,2,L’ossigeno è essenziale per la vita.
Q_0020,Speed Quiz,Text,SQ_20,Quale oggetto ci dà luce durante il giorno?,Stelle,Lampadina,Sole,Luna,3,Sun provides daylight.
Q_0021,Speed Quiz,Text,SQ_21,Quante ore ci sono in una giornata?,24,30,12,18,1,Ci sono 24 ore in un giorno.
Q_0022,Speed Quiz,Text,SQ_22,Quale animale vive nell'acqua e respira attraverso le branchie?,Pescare,Balena,Delfino,Cane,1,I pesci respirano attraverso le branchie.
Q_0023,Speed Quiz,Text,SQ_23,Qual è il punto di congelamento dell'acqua?,50°C,100°C,0°C,10°C,3,Water freezes at 0°C.
Q_0024,Speed Quiz,Text,SQ_24,Quale organo pompa il sangue nel corpo umano?,Fegato,Cuore,Cervello,Polmoni,2,Heart pumps blood.
Q_0025,Speed Quiz,Text,SQ_25,Quale giorno viene dopo il venerdì?,Domenica,Sabato,Lunedi,Giovedì,2,Il sabato viene dopo il venerdì.
Q_0026,Speed Quiz,Text,SQ_26,Qual è il contrario di caldo?,Caldo,Asciutto,Freddo,Freddo,3,Il freddo è l'opposto del caldo.
Q_0027,Speed Quiz,Text,SQ_27,Quale parte di una pianta produce il cibo?,Gambo,Foglia,Fiore,Radice,2,Le foglie producono il cibo attraverso la fotosintesi.
Q_0028,Speed Quiz,Text,SQ_28,Qual è la principale fonte di energia per la Terra?,Elettricità,Carbone,Sole,Vento,3,Il sole è la principale fonte di energia.
Q_0029,Speed Quiz,Text,SQ_29,Quale animale è noto per le sue strisce bianche e nere?,Zebra,Cavallo,Tigre,Mucca,1,La zebra ha strisce bianche e nere.
Q_0030,Speed Quiz,Text,SQ_30,Quanti colori ci sono in un arcobaleno?,7,6,8,5,1,Ci sono 7 colori in un arcobaleno.
Q_0031,Speed Quiz,Image,IMG_001,Quale animale è mostrato nell'immagine?,Volpe,Panda Rosso,Procione,Gatto,2,L'immagine mostra un panda rosso.
Q_0032,Speed Quiz,Image,IMG_002,What fruit is shown?,Litchi,Papaia,Guaiava,Frutto del Drago,4,This is dragon fruit.
Q_0033,Speed Quiz,Image,IMG_003,Di quale oggetto si tratta?,Orologio,Bussola,Tachimetro,Cronometro,4,L'oggetto è un cronometro.
Q_0034,Speed Quiz,Image,IMG_004,Quale uccello è mostrato?,Pavone,Cigno,Pappagallo,Tacchino,1,The bird is a peacock.
Q_0035,Speed Quiz,Image,IMG_005,Quale veicolo è mostrato?,Parapendio,Drone,Elicottero,Hot Air Balloon,4,Questa è una mongolfiera.
Q_0036,Speed Quiz,Image,IMG_006,Quale strumento è mostrato?,Ukulele,Chitarra,Violoncello,Violino,4,Lo strumento è un violino.
Q_0037,Speed Quiz,Image,IMG_007,Quale animale è mostrato?,Koala,Panda,Pigrizia,Orso,1,The animal is a koala.
Q_0038,Speed Quiz,Image,IMG_008,Quale strumento viene mostrato?,Martello,Sega,Pinze,Chiave,4,The tool is a wrench.
Q_0039,Speed Quiz,Image,IMG_009,Quale condizione meteorologica viene mostrata?,Fulmine,Piovere,Nevicare,Nebbia,1,L'immagine mostra un fulmine.
Q_0040,Speed Quiz,Image,IMG_010,Quale creatura marina è mostrata?,Calamaro,Granchio,Polpo,Medusa,3,La creatura è un polipo.
Q_0041,Speed Quiz,Image,IMG_011,Quale frutto è mostrato?,Mango,kiwi,Avocado,Pera,3,This is an avocado.
Q_0042,Speed Quiz,Image,IMG_012,Quale animale è mostrato?,Wallaby,Cervo,Antilope,Canguro,4,L'animale è un canguro.
Q_0043,Speed Quiz,Image,IMG_013,Che oggetto è questo?,Orologio,Clessidra,Bussola,Timer,2,This is an hourglass.
Q_0044,Speed Quiz,Image,IMG_014,Quale rettile è mostrato?,Iguana,Lucertola,Geco,Camaleonte,4,Il rettile è un camaleonte.
Q_0045,Speed Quiz,Image,IMG_015,Quale strumento viene mostrato?,Goniometro,Bussola,Governate,Misura di nastro,4,This is a tape measure.
Q_0046,Speed Quiz,Image,IMG_016,Quale animale è mostrato?,Riccio,Neo,Armadillo,Porcospino,1,L'animale è un riccio.
Q_0047,Speed Quiz,Image,IMG_017,Quale oggetto è mostrato?,Terra,Mappa,Palla,Globo,4,This is a globe.
Q_0048,Speed Quiz,Image,IMG_018,Quale frutto è mostrato?,Uva,More,Currants,Mirtilli,4,These are blueberries.
Q_0049,Speed Quiz,Image,IMG_019,Quale animale è mostrato?,Cicogna,Airone,Gru,Fenicottero,4,The bird is a flamingo.
Q_0050,Speed Quiz,Image,IMG_020,Quale strumento è mostrato?,Conga,Bongo,Tamburo,Tabla,3,This is a drum.
Q_0051,Speed Quiz,Image,IMG_021,Quale animale è mostrato?,Lama,Pecora,Alpaca,Cammello,3,The animal is an alpaca.
Q_0052,Speed Quiz,Image,IMG_022,Che oggetto è questo?,Microscopio,Periscopio,Telescopio,Binocolo,1,This is a microscope.
Q_0053,Speed Quiz,Image,IMG_023,Quale frutto è mostrato?,Pomegranate,Guaiava,Mela,Prugna,1,This is a pomegranate.
Q_0054,Speed Quiz,Image,IMG_024,Quale animale è mostrato?,Koala,Scimmia,Lemure,Pigrizia,4,The animal is a sloth.
Q_0055,Speed Quiz,Image,IMG_025,Quale oggetto è mostrato?,Altimetro,Orologio,Bussola,Termometro,3,This is a compass.
Q_0056,Speed Quiz,Image,IMG_026,Quale animale è mostrato?,Riccio,Neo,Porcospino,Armadillo,4,L'animale è un armadillo.
Q_0057,Speed Quiz,Image,IMG_027,Quale frutto è mostrato?,Noce di cocco,L'albero del pane,Papaia,Melone,1,This is a coconut.
