QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0001,Speed Quiz,Text,SQ_01,¿Qué planeta se conoce como el Planeta Rojo?,Venus,Marte,Júpiter,Tierra,2,A Marte se le llama el Planeta Rojo.
Q_0002,Speed Quiz,Text,SQ_02,¿Cómo se conoce comúnmente al H2O?,Oxígeno,Hidrógeno,Sal,Agua,4,H2O es agua.
Q_0003,Speed Quiz,Text,SQ_03,¿Cuántos continentes hay?,5,8,6,7,4,Hay 7 continentes.
Q_0004,Speed Quiz,Text,SQ_04,¿Qué gas absorben las plantas?,Nitrógeno,Hidrógeno,Dióxido de carbono,Oxígeno,3,Las plantas absorben CO2.
Q_0005,Speed Quiz,Text,SQ_05,¿Cuál es el punto de ebullición del agua?,100°C,200ºC,150°C,50°C,1,El agua hierve a 100°C.
Q_0006,Speed Quiz,Text,SQ_06,¿A qué animal se le conoce como el Rey de la Selva?,Elefante,León,Leopardo,Tigre,2,Al león se le llama el rey de la selva.
Q_0007,Speed Quiz,Text,SQ_07,¿Cuántos días tiene un año bisiesto?,367,365,364,366,4,Leap year has 366 days.
Q_0008,Speed Quiz,Text,SQ_08,¿Qué metal es líquido a temperatura ambiente?,Oro,Hierro,Mercurio,Plata,3,El mercurio es líquido a temperatura ambiente.
Q_0009,Speed Quiz,Text,SQ_09,¿Qué órgano de los sentidos se utiliza para ver?,Piel,Nariz,Ojo,Oreja,3,Los ojos nos ayudan a ver.
Q_0010,Speed Quiz,Text,SQ_10,What is the largest mammal?,Jirafa,ballena azul,Elefante,Rinoceronte,2,La ballena azul es el mamífero más grande.
Q_0011,Speed Quiz,Text,SQ_11,¿Qué vitamina obtenemos de la luz solar?,vitamina B,vitamina c,vitamina d,vitamina a,3,La luz del sol aporta vitamina D.
Q_0012,Speed Quiz,Text,SQ_12,¿Qué recolectan las abejas de las flores?,Hojas,Agua,Miel,Polen,4,Las abejas recogen polen.
Q_0013,Speed Quiz,Text,SQ_13,¿Qué figura tiene tres lados?,Triángulo,Rectángulo,Cuadrado,Círculo,1,El triángulo tiene tres lados.
Q_0014,Speed Quiz,Text,SQ_14,¿De qué color es el cielo en un día despejado?,Verde,Rojo,Amarillo,Azul,4,El cielo aparece azul debido a la dispersión.
Q_0015,Speed Quiz,Text,SQ_15,¿Cuántas patas tiene una araña?,8,10,6,12,1,Las arañas tienen 8 patas.
Q_0016,Speed Quiz,Text,SQ_16,¿Qué instrumento se utiliza para medir la temperatura?,Higrómetro,Termómetro,Velocímetro,Barómetro,2,El termómetro mide la temperatura.
Q_0017,Speed Quiz,Text,SQ_17,¿Qué mes viene después de septiembre?,Agosto,Noviembre,Diciembre,Octubre,4,Octubre sigue a septiembre.
Q_0018,Speed Quiz,Text,SQ_18,¿Qué animal es conocido por su cuello largo?,Cebra,Camello,Caballo,Jirafa,4,La jirafa tiene un cuello largo.
Q_0019,Speed Quiz,Text,SQ_19,¿Qué respiramos para sobrevivir?,Dióxido de carbono,Oxígeno,Helio,Nitrógeno,2,El oxígeno es esencial para la vida.
Q_0020,Speed Quiz,Text,SQ_20,¿Qué objeto nos da luz durante el día?,estrellas,Bulbo,Sol,Luna,3,El sol proporciona luz del día.
Q_0021,Speed Quiz,Text,SQ_21,¿Cuántas horas hay en un día?,24,30,12,18,1,Hay 24 horas en un día.
Q_0022,Speed Quiz,Text,SQ_22,¿Qué animal vive en el agua y respira por branquias?,Pez,Ballena,Delfín,Perro,1,Los peces respiran por branquias.
Q_0023,Speed Quiz,Text,SQ_23,¿Cuál es el punto de congelación del agua?,50°C,100°C,0ºC,10ºC,3,El agua se congela a 0°C.
Q_0024,Speed Quiz,Text,SQ_24,¿Qué órgano bombea sangre en el cuerpo humano?,Hígado,Corazón,Cerebro,Pulmones,2,El corazón bombea sangre.
Q_0025,Speed Quiz,Text,SQ_25,¿Qué día viene después del viernes?,Domingo,Sábado,Lunes,Jueves,2,El sábado viene después del viernes.
Q_0026,Speed Quiz,Text,SQ_26,¿Qué es lo opuesto a caliente?,Cálido,Seco,Frío,Fresco,3,El frío es lo opuesto al calor.
Q_0027,Speed Quiz,Text,SQ_27,¿Qué parte de una planta produce alimento?,Provenir,Hoja,Flor,Raíz,2,Las hojas producen alimento mediante la fotosíntesis.
Q_0028,Speed Quiz,Text,SQ_28,¿Cuál es la principal fuente de energía de la Tierra?,Electricidad,Carbón,Sol,Viento,3,El sol es la principal fuente de energía.
